Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,63.10635605,65.08040375,68.54787298,65.49127454,65.91290906,66.2606726,63.78633115,61.50244839,70.77206081,,
Andorra,AND,,,,,,,,,,,
Afghanistan,AFG,43.55686929,33.99649426,27.39525557,26.47029264,17.82371428,17.9929747,14.70758895,10.02384975,8.844619517,,
Angola,AGO,69.56997813,69.68668307,86.01753766,79.83727787,76.39748377,78.09852295,55.05527545,62.41310575,64.97697486,,
Albania,ALB,20.61939902,21.5421184,22.27306896,25.09052628,28.77716927,29.51131757,28.41154879,32.42747054,33.80093226,,
Arab World,ARB,43.80829569,48.32732572,52.96851935,54.4087777,54.5940993,57.01897093,46.4683087,49.37427406,57.90974264,,
United Arab Emirates,ARE,55.92319922,63.5677906,67.58543439,68.63111205,72.31851283,79.02482731,74.70691626,78.37776643,90.31522049,95.15190472,
Argentina,ARG,25.9309089,25.70689622,25.0679237,24.75945992,24.62657197,24.47540361,21.35119285,21.70646423,21.82342285,19.714501,
Armenia,ARM,32.15264501,29.73482889,28.80922032,23.35898587,19.18564395,15.0471035,15.47446868,20.83009472,23.73142576,,
American Samoa,ASM,,,,,,,,,,,
Antigua and Barbuda,ATG,57.58840021,58.99513646,54.41967936,48.29079078,45.08447794,46.41473072,46.55327235,46.13202942,47.74426426,,
Australia,AUS,18.91449504,17.03979014,18.1119017,19.69349768,20.0124065,19.89354398,22.63410543,19.587794,21.17847008,21.42533575,
Austria,AUT,48.24132841,51.48408087,53.83894917,56.36175566,58.89979497,59.26723174,50.06441784,54.10326068,57.29172286,57.00521291,
Azerbaijan,AZE,42.01087491,48.78747981,62.93643014,66.50623055,68.13094035,65.7774117,51.58286565,54.30472154,56.42698053,50.86711733,
Burundi,BDI,6.381438257,6.952787984,8.202499172,7.282079866,7.258486348,9.491736878,6.802335062,8.916622571,9.353708467,,
Belgium,BEL,73.93366817,75.93679086,78.67813535,80.76366955,82.54634248,84.93280404,72.79325231,79.90951192,84.31000511,84.7978226,
Benin,BEN,20.97587932,20.03057949,21.57460517,18.47500537,19.5444476,19.78204042,15.78408833,15.1095099,14.98191428,,
Burkina Faso,BFA,8.710212821,11.32844027,9.743996418,11.34906352,10.57383282,9.882786218,12.61373683,17.04999188,21.14408098,,
