Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,70.85372831,68.57283973,77.93313361,77.9736252,76.45039785,74.92661492,76.27657838,74.81634252,86.43635475,,
Andorra,AND,,,,,,,,,,,
Afghanistan,AFG,94.34417016,87.13932445,77.46714502,74.08505675,58.35004683,55.07254555,42.19922847,44.94347834,36.41062765,,
Angola,AGO,63.06302988,53.71088888,53.63924456,38.97435554,43.51563294,51.22661779,55.39686443,42.94996728,43.306969,,
Albania,ALB,45.87424046,43.30650154,46.32612108,49.1511396,54.96472314,56.11927665,53.51007819,53.87689694,56,,
Arab World,ARB,32.16881405,34.68305582,35.12012968,35.60579849,40.79012672,41.78943843,41.53647561,39.67840182,40.54609771,,
United Arab Emirates,ARE,46.37697028,53.05488271,51.96768961,50.84530284,64.35569207,69.7850064,69.22517514,71.90156477,72.27887503,74.46913875,
Argentina,ARG,14.71378084,18.3703103,19.18872239,19.23220469,20.33713836,20.65045232,16.00237285,18.40020019,19.53145782,17.40419266,
Armenia,ARM,50.03500154,45.30238129,43.22970515,39.2502072,39.15081444,40.65575862,43.00440119,45.31719197,48.60923344,,
American Samoa,ASM,,,,,,,,,,,
Antigua and Barbuda,ATG,63.90164799,65.44353027,68.13775421,72.09776534,72.31871239,69.88153373,58.56026558,59.89319362,57.2709006,,
Australia,AUS,20.99805727,19.62774899,20.64662328,21.16982657,21.11154497,21.96557366,22.14458663,20.03366052,19.66068518,21.16967805,
Austria,AUT,44.74862166,47.70601603,49.85473779,51.30078225,53.17035673,53.51094214,45.56200465,49.90667775,53.96991911,53.47806217,
Azerbaijan,AZE,65.55051086,72.71588426,52.89701475,38.75938567,28.51369901,23.46733444,22.28775755,20.68126693,24.08106448,23.45717196,
Burundi,BDI,20.99493865,24.62336989,33.44433962,46.86976407,34.2238634,37.92617097,43.12349802,39.17907181,37.66549842,,
Belgium,BEL,68.52913379,71.02308033,74.74483827,76.95222204,78.70345279,84.07737279,70.06623838,77.64253558,83.07696882,83.60386892,
Benin,BEN,31.05985351,28.6295567,28.5453561,27.73803756,28.36436328,27.50149623,25.10411675,24.64904644,26.96127149,,
Burkina Faso,BFA,22.02230533,25.8001442,25.79172314,25.25938118,24.93169833,26.40297131,27.79129782,24.87884127,28.57610737,,
Bangladesh,BGD,20.03529176,20.81342307,23.0457747,25.24466123,26.70242715,28.75147667,26.55240314,25.01623521,31.61043961,35.32122337,
Bulgaria,BGR,58.85755932,63.39209353,55.62707438,78.7961081,79.1834197,78.73201041,56.34076832,59.30476293,66.51865209,70.32395359,
Bahrain,BHR,63.65893588,72.72103207,76.42711771,72.90691628,68.35164202,74.31211599,58.77226796,50.9350241,47.80414996,48.47977856,
"Bahamas, The",BHS,39.69987266,42.55362635,48.01522718,55.45303121,53.96552661,53.98252624,47.6704576,49.37217351,57.44429021,,
Bosnia and Herzegovina,BIH,83.16849149,77.49680365,71.68245441,65.96361018,79.87395688,77.7559366,54.39699508,56.08696537,64.28150406,66.6956891,
Belarus,BLR,68.98547237,74.25017703,59.08654297,64.23379212,67.21082526,68.66172333,61.78058849,67.88688448,82.20789837,77.10604642,
Belize,BLZ,66.0815713,58.59887779,62.65728346,61.87225716,61.68572063,69.79831316,17.5982209,57.89774759,65.2642487,,
Bermuda,BMU,,,,,,,,,,,
Bolivia,BOL,26.36710193,26.32587558,32.09379842,32.76613419,34.26625468,37.9604649,32.90444922,34.32417047,38.41192401,37.85158541,
Brazil,BRA,12.07519289,12.54813935,11.51999776,11.46579233,11.84428313,13.47313703,11.13930217,11.90291466,12.62254662,13.98659455,
Barbados,BRB,46.24449743,49.42445223,51.82448927,49.41644163,49.10319614,53.58302782,44.53311269,50.52326499,53.69887157,54.33092299,
Brunei Darussalam,BRN,35.96921583,31.79052386,27.2891692,25.2164514,27.89786764,27.61460739,35.78923095,32.87265594,29.12892629,31.17946104,
Bhutan,BTN,44.16445221,57.80164089,62.9260058,59.1778614,57.2806235,57.70970702,62.18522433,58.39946973,52.71005675,,
Botswana,BWA,34.37454729,36.89010399,34.45657411,34.0800582,40.57421113,46.42453241,48.82141939,43.16736267,50.13043495,50.33137734,
