"index","Country.Code","Country.Name.x","X2009","X2010","X2011","X2012","Country.x","fertility_rate","contraception","region","Country.y","internet_users_2010","internet_users_2011","Country.Name.y","YM2010","YM2011","YM2012"
"1","ABW","Aruba",-5.653502,NA,NA,NA,NA,NA,NA,NA,"Aruba",42,57.06835805,"Aruba",122.6183388,NA,124.3242745
"2","AFG","Afghanistan",21.02065,8.43329,6.964322,NA,"Afghanistan",6.9,NA,"Asia","Afghanistan",4,5,"Afghanistan",41.38579639,54.26208022,53.89696302
"3","AGO","Angola",2.412912,3.407644,3.918567,6.830624,"Angola",6.69,NA,"Africa","Angola",10,14.776,"Angola",46.68924162,48.37797435,48.61000241
"4","ALB","Albania",3.3,3.5,3,0.8,"Albania",2.6,NA,"Europe","Albania",45,49,"Albania",84.02413769,96.3933945,108.4473347
"5","AND","Andorra",NA,NA,NA,NA,"Andorra",NA,NA,"Europe","Andorra",81,81,"Andorra",77.17642345,75.48772704,74.2704358
"6","ARB","Arab World",2.253365,4.648676,5.282387,3.911548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ARE","United Arab Emirates",-1.60943,-1.817172,3.879829,4.365209,"United-Arab-Emirates",3.46,NA,"Asia","United Arab Emirates",68,70,"United Arab Emirates",145.4535397,148.6188563,169.9416213
"8","ARG","Argentina",NA,NA,NA,NA,"Argentina",2.62,NA,"Americas","Argentina",40,47.704,"Argentina",132.880086,134.9211144,142.5117584
"9","ARM","Armenia",-14.14999,2.096366,4.740266,7.14438,"Armenia",1.7,22,"Europe","Armenia",25,32,"Armenia",125.008538,103.5663737,106.8789619
"10","ASM","American Samoa",NA,NA,NA,NA,"American-Samoa",NA,NA,"Oceania","American Samoa",NA,NA,"American Samoa",NA,NA,NA
"11","ATG","Antigua and Barbuda",-12.03601,-7.142992,-2.815132,2.331803,"Antigua",NA,53,"Americas","Antigua and Barbuda",80,82,"Antigua and Barbuda",189.3473115,196.4111949,198.6178323
"12","AUS","Australia",1.648159,2.087576,2.433202,3.397707,"Australia",1.89,76,"Oceania","Australia",76,79,"Australia",101.0401114,108.3353549,106.1928152
"13","AUT","Austria",-3.782656,2.050928,2.696403,0.8499013,"Austria",1.42,71,"Europe","Austria",75.17,79.8,"Austria",145.8365401,154.78324,161.2069881
"14","AZE","Azerbaijan",9.3,5,1,4.45248,"Azerbaijan",2.3,17,"Asia","Azerbaijan",46,50,"Azerbaijan",99.0457981,108.7479044,107.4721324
"15","BDI","Burundi",3.468425,3.785903,4.191626,4.003347,"Burundi",6.28,9,"Africa","Burundi",1,1.11,"Burundi",20.01740697,22.32708568,25.68323929
"16","BEL","Belgium",-2.787184,2.416091,1.839812,-0.2810104,"Belgium",1.62,79,"Europe","Belgium",75,78,"Belgium",113.4612221,120.4901109,119.3859019
"17","BEN","Benin",2.666515,2.552818,3.530698,5.399974,"Benin",5.83,16,"Africa","Benin",3.13,3.5,"Benin",79.94350666,85.33266549,89.90581317
"18","BFA","Burkina Faso",2.965439,7.939699,4.210078,10.0341,"Burkina-Faso",6.57,8,"Africa","Burkina Faso",2.4,3,"Burkina Faso",34.65874749,45.27445884,57.06506195
"19","BGD","Bangladesh",5.741159,6.06934,6.708097,6.317928,"Bangladesh",3.14,49,"Asia","Bangladesh",3.7,5,"Bangladesh",45.68088879,56.06129927,63.76273324
"20","BGR","Bulgaria",-5.5,0.3927561,1.84083,0.7754765,"Bulgaria",1.45,NA,"Europe","Bulgaria",46.23,51,"Bulgaria",136.1020835,140.6781236,145.7274544
"21","BHR","Bahrain",3.1,4.337222,2.099667,3.399789,"Bahrain",2.97,53,"Asia","Bahrain",55,77,"Bahrain",124.1842238,127.9641264,156.2284983
"22","BHS","Bahamas, The",-4.175259,0.9879863,1.659385,1.832172,"Bahamas",1.95,62,"Americas","Bahamas",43,65,"Bahamas, The",124.9360558,86.0629767,72.30802078
"23","BIH","Bosnia and Herzegovina",-2.91,0.7,1.3,-0.7,"Bosnia",1.4,NA,"Europe","Bosnia and Herzegovina",52,60,"Bosnia and Herzegovina",82.71568494,84.5173321,89.53313561
"24","BLR","Belarus",0.1635352,7.7,5.543711,1.542512,"Belarus",1.4,50,"Europe","Belarus",31.8,39.6,"Belarus",107.6857389,111.8778807,112.059546
"25","BLZ","Belize",0,2.9,1.929845,NA,"Belize",3.66,47,"Americas","Belize",14,NA,"Belize",62.31841272,69.95514708,50.61826995
"26","BMU","Bermuda",-5.088807,-2.152014,-2.825643,NA,"Bhutan",5.89,19,"Asia","Bermuda",84.21,88.336,"Bermuda",135.8155865,NA,139.553429
"27","BOL","Bolivia",3.228698,4.108812,5.215225,5.188271,"Bolivia",4.36,45,"Americas","Bolivia",22.4,30,"Bolivia",72.30012259,82.82154592,92.63840839
"28","BRA","Brazil",-0.328248,7.533615,2.732509,0.8727082,"Brazil",2.17,74,"Americas","Brazil",40.65,45,"Brazil",101.0174629,119.1718951,125.1878012
"29","BRB","Barbados",-4.139669,0.2534735,0.758498,0.00929368,"Barbados",1.73,55,"Americas","Barbados",70.2,71.7657,"Barbados",128.0721909,127.0117733,126.3978436
"30","BRN","Brunei Darussalam",-1.765371,2.598966,2.208359,2.154756,"Brunei",2.7,NA,"Asia","Brunei Darussalam",53,56,"Brunei Darussalam",109.0704903,109.1696269,113.7682493
